thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0.00468910855090143,0.194355291303807,5.29405521007031,0,0,0,0,-0.095597
0.00474765688730952,0.195946600418656,5.31408753908489,0,0,0,0,-0.097002
0.00480668354373273,0.19754391565864,5.33409383751547,0,0,0,0,-0.095561
0.00486619032093414,0.199147229199453,5.35407400736299,0,0,0,0,-0.098296
0.00492617901732507,0.200756533187406,5.37402795075636,0,0,0,0,-0.096522
0.00498665142895619,0.202371819739467,5.39395556995297,0,0,0,0,-0.100543
0.00504760934950878,0.203993080943299,5.41385676733916,0,0,0,0,-0.099248
0.00510905457028579,0.205620308857298,5.43373144543068,0,0,0,0,-0.105347
0.00517098888020329,0.207253495510634,5.4535795068732,0,0,0,0,-0.102037
0.00523341406578152,0.208892632903287,5.47340085444275,0,0,0,0,-0.106169
0.00529633191113623,0.21053771300609,5.49319539104623,0,0,0,0,-0.102501
0.00535974419796989,0.212188727760763,5.51296301972188,0,0,0,0,-0.102527
0.00542365270556309,0.213845669079958,5.53270364363972,0,0,0,0,-0.104459
0.00548805921076559,0.215508528847296,5.55241716610206,0,0,0,0,-0.103224
0.00555296548798786,0.217177298917407,5.57210349054398,0,0,0,0,-0.106352
0.00561837330919222,0.218851971115969,5.59176252053378,0,0,0,0,-0.102435
0.00568428444388429,0.220532537239749,5.61139415977343,0,0,0,0,-0.107987
0.00575070065910414,0.222218989056645,5.63099831209911,0,0,0,0,-0.104679
0.00581762371941785,0.223911318305723,5.65057488148164,0,0,0,0,-0.10371
0.00588505538690874,0.225609516697258,5.67012377202692,0,0,0,0,-0.108512
0.00595299742116876,0.227313575912778,5.68964488797646,0,0,0,0,-0.102871
0.00602145157928982,0.2290234876051,5.70913813370782,0,0,0,0,-0.111204
0.00609041961585534,0.230739243398374,5.72860341373506,0,0,0,0,-0.107998
0.00615990328293144,0.232460834888123,5.74804063270926,0,0,0,0,-0.113929
0.00622990433005859,0.234188253641285,5.76744969541892,0,0,0,0,-0.11545
0.0063004245042428,0.235921491196253,5.78683050679049,0,0,0,0,-0.115195
0.00637146554994727,0.237660539062918,5.80618297188878,0,0,0,0,-0.104129
0.00644302920908373,0.239405388722709,5.82550699591747,0,0,0,0,-0.100286
0.00651511722100387,0.241156031628634,5.84480248421956,0,0,0,0,-0.105963
0.00658773132249104,0.242912459205327,5.8640693422778,0,0,0,0,-0.104282
0.00666087324775145,0.244674662849083,5.88330747571523,0,0,0,0,-0.097801
0.00673454472840583,0.246442633927905,5.90251679029555,0,0,0,0,-0.099151
0.00680874749348099,0.248216363781543,5.92169719192366,0,0,0,0,-0.10119
0.00688348326940127,0.249995843721541,5.94084858664606,0,0,0,0,-0.097572
0.00695875377998,0.251781065031275,5.95997088065135,0,0,0,0,-0.095451
0.00703456074641134,0.253572018965997,5.97906398027069,0,0,0,0,-0.09191
0.00711090588726156,0.255368696752879,5.99812779197822,0,0,0,0,-0.092625
0.0071877909184607,0.257171089591055,6.01716222239157,0,0,0,0,-0.07732
0.00726521755329431,0.258979188651664,6.03616717827227,0,0,0,0,-0.083752
0.00734318750239487,0.260792985077895,6.05514256652624,0,0,0,0,-0.038619
0.00742170247373342,0.262612469985028,6.07408829420424,0,0,0,0,0.188643
0.00750076417261144,0.264437634460477,6.09300426850231,0,0,0,0,0.149926
0.00758037430165212,0.266268469563838,6.11189039676223,0,0,0,0,0.353337
0.00766053456079227,0.268104966326927,6.13074658647199,0,0,0,0,0.384775
0.00774124664727406,0.26994711575383,6.14957274526622,0,0,0,0,0.400042
0.00782251225563642,0.271794908820941,6.16836878092666,0,0,0,0,0.453104
0.00790433307770695,0.273648336477011,6.18713460138262,0,0,0,0,0.562647
0.00798671080259366,0.275507389643189,6.20587011471138,0,0,0,0,0.493327
0.00806964711667653,0.277372059213071,6.22457522913872,0,0,0,0,0.602672
0.00815314370359937,0.279242336052737,6.24324985303929,0,0,0,0,0.681268
0.00823720224426158,0.281118211000804,6.26189389493711,0,0,0,0,0.651929
0.00832182441680979,0.282999674868465,6.28050726350601,0,0,0,0,0.658255
0.00840701189662986,0.284886718439538,6.29908986757007,0,0,0,0,0.852885
0.00849276635633843,0.286779332470508,6.31764161610404,0,0,0,0,0.656667
0.00857908946577488,0.288677507690573,6.33616241823385,0,0,0,0,0.85034
0.00866598289199309,0.290581234801692,6.35465218323699,0,0,0,0,0.816661
0.00875344829925335,0.292490504478627,6.37311082054301,0,0,0,0,0.841353
0.0088414873490141,0.29440530736899,6.39153823973391,0,0,0,0,0.90935
0.00893010169992385,0.296325634093292,6.40993435054463,0,0,0,0,0.951144
0.0090192930078131,0.298251475244981,6.42829906286344,0,0,0,0,1.075087
0.00910906292568607,0.300182821390498,6.44663228673246,0,0,0,0,1.03902
