thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
0.00756062591901007,0.238060912977173,4.87419701907499,0,0,0,0,0,0.341492
0.00765024822704934,0.23989191735711,4.89046230745133,0,0,0,0,0,0.566823
0.00774055835326848,0.241729014636861,4.90669016417451,0,0,0,0,0,0.350117
0.0078315585800314,0.243572190755263,4.92288046503633,0,0,0,0,0,0.659951
0.00792325118442007,0.245421431604625,4.93903308611604,0,0,0,0,0,0.681489
0.00801563843821688,0.247276723030837,4.9551479037813,0,0,0,0,0,0.881888
0.00810872260788749,0.249138050833479,4.97122479468913,0,0,0,0,0,0.663909
0.00820250595456326,0.251005400765925,4.98726363578681,0,0,0,0,0,0.951341
0.00829699073402406,0.252878758535459,5.00326430431287,0,0,0,0,0,0.971708
0.00839217919668102,0.25475810980338,5.01922667779803,0,0,0,0,0,1.038591
0.00848807358755923,0.256643440185112,5.0351506340661,0,0,0,0,0,1.048218
0.00858467614628064,0.258534735250315,5.05103605123493,0,0,0,0,0,1.166813
0.00868198910704683,0.260431980522995,5.06688280771737,0,0,0,0,0,1.149922
0.00878001469862199,0.262335161481617,5.08269078222217,0,0,0,0,0,1.224225
0.00887875514431581,0.264244263559211,5.0984598537549,0,0,0,0,0,1.355487
0.00897821266196646,0.266159272143489,5.11418990161893,0,0,0,0,0,1.370682
0.00907838946392368,0.268080172576954,5.12988080541629,0,0,0,0,0,1.314432
0.0091792877570318,0.270006950157013,5.14553244504862,0,0,0,0,0,1.557337
0.00928090974261277,0.271939590136088,5.16114470071811,0,0,0,0,0,1.375683
0.00938325761644946,0.273878077721732,5.17671745292837,0,0,0,0,0,1.59242
0.00948633356876879,0.275822398076738,5.19225058248539,0,0,0,0,0,1.611278
0.00959013978422491,0.277772536319258,5.20774397049841,0,0,0,0,0,1.543027
0.00969467844188257,0.27972847752291,5.22319749838087,0,0,0,0,0,1.715041
0.00979995171520037,0.2816902067169,5.23861104785129,0,0,0,0,0,1.670298
0.00990596177201416,0.28365770888613,5.25398450093421,0,0,0,0,0,1.835724
0.0100127107745205,0.285630968971316,5.26931773996102,0,0,0,0,0,1.842361
0.0101202008792599,0.287609971869104,5.28461064757096,0,0,0,0,0,1.763934
0.0102284342371006,0.289594702432184,5.29986310671193,0,0,0,0,0,1.92219
0.010337412993222,0.291585145469405,5.31507500064145,0,0,0,0,0,1.735086
0.0104471392870981,0.293581285745895,5.3302462129275,0,0,0,0,0,2.030051
0.0105576152524813,0.295583107983173,5.34537662744946,0,0,0,0,0,1.724964
0.0106688430173859,0.297590596859269,5.36046612839897,0,0,0,0,0,2.069973
0.0107808247040722,0.299603737008842,5.37551460028082,0,0,0,0,0,1.769685
0.0108935624290296,0.301622513023294,5.39052192791383,0,0,0,0,0,2.102339
0.0110070583029611,0.303646909450891,5.40548799643175,0,0,0,0,0,1.802228
0.0111213144307666,0.305676910796879,5.42041269128413,0,0,0,0,0,2.095835
0.011236332911527,0.307712501523607,5.43529589823718,0,0,0,0,0,1.793035
0.0113521158384885,0.309753666050639,5.45013750337468,0,0,0,0,0,2.129092
0.0114686652990457,0.31180038875488,5.4649373930988,0,0,0,0,0,1.851065
0.0115859833747264,0.313852653970692,5.47969545413104,0,0,0,0,0,1.927314
0.0117040721411756,0.315910445990013,5.49441157351302,0,0,0,0,0,1.927757
0.0118229336681391,0.31797374906248,5.50908563860741,0,0,0,0,0,1.918203
0.0119425700194481,0.320042547395548,5.52371753709874,0,0,0,0,0,2.052934
0.0120629832530033,0.322116825154612,5.5383071569943,0,0,0,0,0,1.894296
0.0121841754207591,0.324196566463127,5.55285438662498,0,0,0,0,0,2.088078
0.012306148568708,0.32628175540273,5.56735911464611,0,0,0,0,0,1.899232
0.0124289047368649,0.32837237601336,5.58182123003836,0,0,0,0,0,1.952918
0.0125524459592513,0.330468412293386,5.59624062210852,0,0,0,0,0,1.978504
0.01267677426388,0.33256984819972,5.61061718049041,0,0,0,0,0,1.952141
0.0128018916727394,0.334676667647951,5.62495079514568,0,0,0,0,0,2.083454
0.0129278002017781,0.336788854512457,5.6392413563647,0,0,0,0,0,1.939196
0.0130545018608896,0.338906392626537,5.65348875476734,0,0,0,0,0,1.99783
0.0131819986538965,0.34102926578253,5.66769288130387,0,0,0,0,0,1.990171
0.0133102925785357,0.343157457731943,5.68185362725573,0,0,0,0,0,1.966757
0.0134393856264427,0.345290952185569,5.69597088423642,0,0,0,0,0,1.951849
0.0135692797831365,0.347429732813619,5.71004454419229,0,0,0,0,0,1.963079
0.0136999770280045,0.349573783245841,5.7240744994034,0,0,0,0,0,1.921022
0.0138314793342871,0.35172308707165,5.73806064248432,0,0,0,0,0,1.926999
0.0139637886690629,0.35387762784025,5.75200286638494,0,0,0,0,0,1.916326
0.0140969069932335,0.356037389060762,5.76590106439132,0,0,0,0,0,1.905769
0.0142308362615084,0.35820235420235,5.77975513012652,0,0,0,0,0,1.952554
0.01436557842239,0.360372506694346,5.79356495755134,0,0,0,0,0,1.895454
0.0145011354181592,0.362547829926378,5.80733044096523,0,0,0,0,0,1.896328
0.0146375091848597,0.364728307248498,5.821051475007,0,0,0,0,0,1.874334
